BoM Name,Level,Product Reference,Product Name,Quantity,Unit of Measure,BoM Reference
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0033,"Reel, 5lb",
,> > > > ,PP-GP0396,[PP-GP0396] Bed Corner,4,PCE,
,> > > > > ,RM-TE0002,"[RM-TE0002] Midnight NinjaFlex™ TPE Filament, 3mm, 0.75kg Fenner Drives",0.01,"Reel, 0.75kg",
,> > > > ,PP-GP0446,[PP-GP0446] Heater bed stand off,1,PCE,
,> > > > > ,RM-TE0002,"[RM-TE0002] Midnight NinjaFlex™ TPE Filament, 3mm, 0.75kg Fenner Drives",0.01,"Reel, 0.75kg",
,> > > > ,PP-GP0449,"[PP-GP0449] Auxiliary Bed Mount Cover, Black",1,PCE,
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0049,"Reel, 5lb",
,> > > > ,AS-PR0121,[AS-PR0121] Y-Bearing Holder Assembly,4,PCE,
,> > > > > ,HD-BU0030,[HD-BU0030] DryLin® R - Solid Polymer Bearing RJMP-01-10mm ,1,PCE,
,> > > > > ,PP-GP0393,[PP-GP0393] 10mm Retaining Ring,1,PCE,
,> > > > > > ,RM-AB0104,"[RM-AB0104] Chroma Strand ABS Filament, Lulzbot Green 2.85mm, 5 lb reel",0.0001,"Reel, 5lb",
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.006,"Reel, 5lb",
,> > > > ,AS-PR0122,[AS-PR0122] Y-Idler Mount Assembly,1,PCE,
,> > > > > ,HD-BT0148,"[HD-BT0148] Class 10.9 Steel Button-Head Socket Cap Screw, M3 Size, 10 mm Length, .5 mm Pitch",4,PCE,
,> > > > > ,HD-WA0038,"[HD-WA0038] Black-Oxide 18-8 Steel Flat Washer, M3 Screw Size, 3.2mm ID, 7.0mm OD",4,PCE,
,> > > > > ,PP-FP0151,[PP-FP0151] Y Endplate,1,PCE,
,> > > > > ,PP-IS0091,[PP-IS0091] Y-Idler Housing with Inserts,1,PCE,
,> > > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",4,PCE,
,> > > > > > ,PP-GP0363,[PP-GP0363] Y Idler Housing,1,PCE,
,> > > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0097,"Reel, 5lb",
,> > > > ,AS-PR0161,"[AS-PR0161] Y Motor Mount Assembly, Workhorse",1,PCE,
,> > > > > ,EL-HR0182,"[EL-HR0182] TAZ Workhorse, Y Motor Ground Extension",1,PCE,
,> > > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,3,PCE,update 6/20/19 T7984
,> > > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,1,PCE,update 6/20/19 T7984
,> > > > > > ,EL-MS0142,[EL-MS0142] Conn Recept Faston 22-26AWG .110 - Reel of 3K,2,PCE,update 6/20/19 T7984
,> > > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,34,cm,update 6/20/19 T7984
,> > > > > > ,PC-CN0003,[PC-CN0003] Molex - CONN HOUSING 3POS .100 W/LATCH,1,PCE,update 6/20/19 T7984
,> > > > > ,PP-IS0115,"[PP-IS0115] Y Motor Mount with Inserts, TAZ",1,PCE,
,> > > > > > ,PP-GP0439,"[PP-GP0439] Y Motor Mount, Black, Workhorse",1,PCE,
,> > > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0176,"Reel, 5lb",
,> > > > > > ,PP-MP0066,"[PP-MP0066] Metric Brass Heat-Set Tapered Insert, M2-.4 Internal Thread, 2.9MM Length",2,PCE,
,> > > > > ,EL-SW0022,[EL-SW0022] SWITCH BASIC SPDT 3A .110QC 125V,1,PCE,
,> > > > > ,HD-BT0107,"[HD-BT0107] Metric Class 12.9 Socket Head Cap Screw Alloy Steel, Black, M2 Thread, 10mm Length, 0.4mm Pitch",2,PCE,
,> > > > > ,HD-BT0148,"[HD-BT0148] Class 10.9 Steel Button-Head Socket Cap Screw, M3 Size, 10 mm Length, .5 mm Pitch",4,PCE,
,> > > > > ,HD-MS0058,"[HD-MS0058] Wire Tie, 8"" Black, pk 1000",1,PCE,
,> > > > > ,HD-NT0001,"[HD-NT0001] Metric Zinc-Plated Steel Nylon-Insert Locknut, Class 8, M3 Screw sz, .5MM pitch, 5.5MM W, 4MM H",4,PCE,
,> > > > > ,HD-WA0012,"[HD-WA0012] Steel Flat Washer, DIN 125 zinc-plated class 4,M2 screw sz, 5mm OD, .25mm-.35mm thick",2,PCE,
,> > > > > ,HD-WA0038,"[HD-WA0038] Black-Oxide 18-8 Steel Flat Washer, M3 Screw Size, 3.2mm ID, 7.0mm OD",4,PCE,
,> > > > > ,PP-FP0151,[PP-FP0151] Y Endplate,1,PCE,
,> > > > ,AS-PR0124,[AS-PR0124] Y Idler Assembly,1,PCE,
,> > > > > ,HD-BL0028,[HD-BL0028] 956-2P-06 POWERHOUSE BELT,1,PCE,
,> > > > > ,HD-BT0151,"[HD-BT0151] M5 x 20mm SCHS, Black Oxide",1,PCE,
,> > > > > ,HD-MS0411,[HD-MS0411] 625-2RS Premium Two Side Rubber Sealed Bearing ABEC3,2,PCE,
,> > > > > ,PP-MP0225,[PP-MP0225] YZ Idler,1,PCE,
,> > > > ,PP-IS0088,[PP-IS0088] Y-Belt Clamp with Inserts,1,PCE,
,> > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",2,PCE,
,> > > > > ,PP-GP0370,[PP-GP0370] Y Belt Clamp,1,PCE,
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0013,"Reel, 5lb",
,> > > > ,PP-IS0089,[PP-IS0089] Y-Corner Left with Inserts,2,PCE,
,> > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",1,PCE,
,> > > > > ,HD-MS0158,"[HD-MS0158] Metric Brass Heat-Set Insert For Plastics Tapered, M5-.8 Internal Thread, 6.7mm Length",1,PCE,
